epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1174.42,0.81166,0.51333,0.92537,0.98544,0.99162,0.98855,0.78956,0.82727,0.40295,0.90939,0.000349331,0.000349331,0.000349331
43,1185.71,0.82602,0.50945,0.92724,0.98755,0.98955,0.98669,0.78779,0.81842,0.41146,0.91533,0.00034351,0.00034351,0.00034351
44,1196.73,0.82184,0.51232,0.93402,0.98541,0.99032,0.98728,0.80076,0.79583,0.40031,0.90899,0.000337688,0.000337688,0.000337688
45,1208.02,0.82787,0.50877,0.93393,0.98547,0.99301,0.9859,0.79094,0.81258,0.40024,0.90942,0.000331867,0.000331867,0.000331867
46,1219.23,0.81909,0.50392,0.92651,0.98586,0.98908,0.98757,0.80085,0.78256,0.39431,0.89976,0.000326046,0.000326046,0.000326046
47,1230.54,0.82412,0.50583,0.92356,0.98205,0.99301,0.98954,0.79699,0.80955,0.38896,0.89947,0.000320225,0.000320225,0.000320225
48,1241.62,0.80971,0.49959,0.93244,0.98577,0.98872,0.98519,0.79828,0.79214,0.38849,0.90722,0.000314404,0.000314404,0.000314404
49,1252.95,0.81482,0.49323,0.92726,0.98096,0.98597,0.9886,0.79316,0.81319,0.39101,0.90109,0.000308582,0.000308582,0.000308582
50,1264.28,0.81311,0.48774,0.92055,0.98455,0.99177,0.98679,0.79234,0.82756,0.3951,0.92209,0.000302761,0.000302761,0.000302761
51,1275.72,0.79559,0.48951,0.91572,0.98318,0.98922,0.98926,0.79538,0.78743,0.38303,0.90504,0.00029694,0.00029694,0.00029694
52,1287.01,0.79862,0.48009,0.91587,0.98537,0.99115,0.98789,0.79883,0.80042,0.38592,0.91267,0.000291119,0.000291119,0.000291119
53,1298.2,0.82136,0.48568,0.92621,0.98283,0.98871,0.98808,0.80178,0.7903,0.39039,0.91078,0.000285298,0.000285298,0.000285298
54,1309.06,0.79085,0.4787,0.91767,0.98407,0.99299,0.98794,0.80708,0.77212,0.3767,0.89997,0.000279476,0.000279476,0.000279476
55,1320.26,0.77243,0.46082,0.91154,0.98571,0.98642,0.98751,0.79311,0.80092,0.38453,0.9063,0.000273655,0.000273655,0.000273655
56,1329.72,0.78049,0.46899,0.91696,0.98499,0.98571,0.99014,0.79006,0.81369,0.38636,0.90776,0.000267834,0.000267834,0.000267834
57,1337.5,0.77972,0.47202,0.91641,0.98454,0.98202,0.98987,0.79359,0.79544,0.38808,0.91364,0.000262013,0.000262013,0.000262013
58,1343.68,0.79683,0.47192,0.92588,0.98126,0.98815,0.98951,0.79256,0.81093,0.37986,0.9094,0.000256192,0.000256192,0.000256192
59,1349.96,0.79022,0.46581,0.91437,0.97986,0.99084,0.98721,0.79736,0.79378,0.37313,0.91138,0.00025037,0.00025037,0.00025037
60,1356.25,0.77232,0.45931,0.91812,0.97237,0.98467,0.98828,0.79788,0.7735,0.37207,0.89725,0.000244549,0.000244549,0.000244549
61,1362.45,0.76845,0.45672,0.91467,0.98197,0.98699,0.99029,0.80525,0.77616,0.37183,0.89906,0.000238728,0.000238728,0.000238728
62,1368.74,0.76128,0.45832,0.91456,0.98885,0.98916,0.98925,0.79445,0.82993,0.37552,0.91862,0.000232907,0.000232907,0.000232907
63,1375,0.77858,0.46317,0.91275,0.98216,0.9926,0.98926,0.79783,0.79767,0.3726,0.90919,0.000227086,0.000227086,0.000227086
64,1381.2,0.76475,0.46465,0.91244,0.98155,0.98458,0.98909,0.79901,0.7817,0.37182,0.90602,0.000221264,0.000221264,0.000221264
65,1387.38,0.78992,0.46003,0.92043,0.98336,0.99144,0.98845,0.79503,0.79026,0.36449,0.90896,0.000215443,0.000215443,0.000215443
66,1393.65,0.76314,0.45135,0.90608,0.98312,0.98879,0.98933,0.79045,0.81573,0.36903,0.90893,0.000209622,0.000209622,0.000209622
67,1399.97,0.74262,0.44379,0.90242,0.98148,0.99234,0.98805,0.80103,0.77775,0.35902,0.90236,0.000203801,0.000203801,0.000203801
68,1406.29,0.77094,0.45452,0.9184,0.98442,0.99185,0.98763,0.79531,0.80142,0.36471,0.91255,0.00019798,0.00019798,0.00019798
69,1412.63,0.75477,0.44721,0.91152,0.98357,0.99003,0.98946,0.80133,0.78997,0.36193,0.90174,0.000192158,0.000192158,0.000192158
70,1418.96,0.74651,0.43854,0.90206,0.9857,0.9884,0.9879,0.79966,0.79331,0.35738,0.91239,0.000186337,0.000186337,0.000186337
71,1425.33,0.75569,0.44528,0.90398,0.97698,0.98962,0.98832,0.79515,0.81793,0.37449,0.92071,0.000180516,0.000180516,0.000180516
72,1431.63,0.75051,0.43513,0.90733,0.97517,0.98876,0.98946,0.80922,0.77654,0.36393,0.90586,0.000174695,0.000174695,0.000174695
73,1437.92,0.76063,0.45501,0.91801,0.98424,0.99301,0.98711,0.80102,0.80775,0.36136,0.92001,0.000168874,0.000168874,0.000168874
74,1444.21,0.75246,0.43413,0.9019,0.98085,0.98929,0.98841,0.80175,0.79654,0.3664,0.91244,0.000163052,0.000163052,0.000163052
75,1450.5,0.74319,0.43084,0.90912,0.98097,0.98875,0.98939,0.8064,0.78067,0.35877,0.90619,0.000157231,0.000157231,0.000157231
76,1456.85,0.74347,0.43452,0.90842,0.9819,0.98976,0.99049,0.79068,0.81563,0.36658,0.91998,0.00015141,0.00015141,0.00015141
77,1463.22,0.731,0.42701,0.90646,0.98356,0.99301,0.98983,0.80341,0.79046,0.35633,0.90948,0.000145589,0.000145589,0.000145589
78,1469.64,0.72799,0.42947,0.895,0.9831,0.99028,0.98846,0.7989,0.78918,0.35921,0.90997,0.000139768,0.000139768,0.000139768
79,1475.99,0.7341,0.42546,0.90746,0.98205,0.99002,0.98936,0.80622,0.77511,0.35173,0.90407,0.000133946,0.000133946,0.000133946
80,1482.38,0.73888,0.41961,0.9077,0.9834,0.99097,0.9902,0.80237,0.78396,0.35132,0.90856,0.000128125,0.000128125,0.000128125
81,1488.79,0.72046,0.42099,0.90136,0.98118,0.99046,0.99009,0.80259,0.80054,0.35831,0.90809,0.000122304,0.000122304,0.000122304
82,1495.2,0.72926,0.42624,0.89717,0.98454,0.98218,0.98956,0.80417,0.78732,0.35852,0.91046,0.000116483,0.000116483,0.000116483
83,1501.62,0.72262,0.42123,0.90676,0.98421,0.99181,0.98988,0.80114,0.77981,0.3513,0.90422,0.000110662,0.000110662,0.000110662
84,1508.21,0.73048,0.41391,0.89847,0.98468,0.99301,0.98939,0.8,0.79009,0.3492,0.90748,0.00010484,0.00010484,0.00010484
85,1514.7,0.72122,0.42097,0.90406,0.98187,0.99004,0.98919,0.79585,0.80519,0.35317,0.91263,9.90192e-05,9.90192e-05,9.90192e-05
86,1521.16,0.71258,0.41087,0.89409,0.97863,0.98992,0.9895,0.80241,0.80733,0.35645,0.91445,9.3198e-05,9.3198e-05,9.3198e-05
87,1527.6,0.71779,0.42023,0.89448,0.9838,0.98954,0.98954,0.81293,0.77784,0.34629,0.90731,8.73768e-05,8.73768e-05,8.73768e-05
88,1533.99,0.70797,0.41174,0.89795,0.98571,0.98782,0.98885,0.80085,0.78817,0.34852,0.90856,8.15556e-05,8.15556e-05,8.15556e-05
89,1540.47,0.71224,0.41367,0.89774,0.98532,0.98879,0.98921,0.80634,0.78056,0.35097,0.90772,7.57344e-05,7.57344e-05,7.57344e-05
90,1546.97,0.7206,0.41941,0.899,0.98104,0.99123,0.98941,0.80731,0.78567,0.34886,0.90844,6.99132e-05,6.99132e-05,6.99132e-05
91,1561.66,0.70359,0.39226,0.91243,0.98444,0.98849,0.98814,0.80185,0.78178,0.35026,0.90676,6.4092e-05,6.4092e-05,6.4092e-05
92,1567.85,0.69456,0.38427,0.91419,0.98194,0.99119,0.98864,0.80364,0.78364,0.35108,0.90669,5.82708e-05,5.82708e-05,5.82708e-05
93,1574.1,0.68455,0.37783,0.90607,0.97921,0.99132,0.98891,0.80527,0.78522,0.35323,0.91083,5.24496e-05,5.24496e-05,5.24496e-05
94,1580.29,0.68674,0.37275,0.91642,0.98122,0.99213,0.98821,0.80846,0.78005,0.352,0.90823,4.66284e-05,4.66284e-05,4.66284e-05
95,1586.58,0.67614,0.36883,0.90344,0.98133,0.98931,0.98813,0.79829,0.80689,0.35609,0.92005,4.08072e-05,4.08072e-05,4.08072e-05
96,1592.89,0.67497,0.3719,0.90775,0.98357,0.99046,0.9888,0.80337,0.78434,0.34816,0.90991,3.4986e-05,3.4986e-05,3.4986e-05
97,1599.36,0.67015,0.36902,0.905,0.9832,0.98952,0.98883,0.80303,0.78306,0.35009,0.90993,2.91648e-05,2.91648e-05,2.91648e-05
98,1605.72,0.66393,0.36784,0.90013,0.98193,0.98954,0.98874,0.80374,0.78522,0.34888,0.90903,2.33436e-05,2.33436e-05,2.33436e-05
99,1611.99,0.66383,0.36375,0.89761,0.98055,0.98931,0.9883,0.80244,0.78325,0.34815,0.90785,1.75224e-05,1.75224e-05,1.75224e-05
100,1618.3,0.66418,0.36818,0.90241,0.9837,0.98655,0.98828,0.80072,0.78499,0.34808,0.91,1.17012e-05,1.17012e-05,1.17012e-05
