epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,9430.52,1.14433,0.79734,1.18632,0.92928,0.94986,0.97564,0.67677,1.09543,0.70013,1.22337,0.005743,0.005743,0.005743
45,9737.65,1.13636,0.79313,1.19878,0.96125,0.9651,0.98524,0.76066,0.88104,0.63744,1.11444,0.005644,0.005644,0.005644
46,9936.73,1.13233,0.77792,1.18041,0.95235,0.97041,0.9826,0.76261,0.89591,0.64097,1.12334,0.005545,0.005545,0.005545
47,10246.5,1.11588,0.75525,1.15588,0.94862,0.97301,0.98518,0.76062,0.89585,0.63777,1.13446,0.005446,0.005446,0.005446
48,10444.7,1.09706,0.75435,1.17231,0.94676,0.97176,0.98499,0.74966,0.93978,0.63799,1.14266,0.005347,0.005347,0.005347
49,10677.2,1.09351,0.75381,1.16732,0.94781,0.95066,0.97673,0.74473,0.91135,0.65314,1.14081,0.005248,0.005248,0.005248
50,10943.2,1.08614,0.74388,1.16505,0.93243,0.95059,0.97502,0.74531,0.89352,0.64207,1.12668,0.005149,0.005149,0.005149
51,11301.8,1.08943,0.72728,1.14364,0.94626,0.97969,0.98252,0.74041,0.9319,0.63302,1.13699,0.00505,0.00505,0.00505
52,11546.2,1.0774,0.74061,1.15488,0.94626,0.95704,0.98195,0.76401,0.86983,0.6155,1.10704,0.004951,0.004951,0.004951
53,11823.4,1.08472,0.72385,1.16036,0.92066,0.86539,0.9347,0.65437,1.13044,0.95141,1.26555,0.004852,0.004852,0.004852
